# category	field_a	field_b	freq	example_endpoints
# type: rename_pair
rename_pair	data.count	data.x_cms_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_query_assemble_surface	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_organization_assemble_authentication	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_calendar_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_portal_assemble_designer	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_bbs_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_organization_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_processplatform_assemble_surface	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_query_service_processing	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_jpush_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_meeting_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_message_assemble_communicate	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_processplatform_assemble_bam	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_attendance_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_component_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_hotpic_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_portal_assemble_surface	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.webServer	2	GET /api/program_center/distribute/webserver/assemble/source/{source}
rename_pair	data.count	data.assembles	2	GET /api/program_center/distribute/webserver/assemble/source/{source}
rename_pair	data.count	data.tokenName	2	GET /api/program_center/distribute/webserver/assemble/source/{source}
rename_pair	data.count	data.mockConfig	2	GET /api/program_center/distribute/webserver/assemble/source/{source}
rename_pair	data.count	data.standalone	2	GET /api/program_center/distribute/webserver/assemble/source/{source}
# type: single_missing_java
single_missing_java	data.count		16	GET /api/document/batch/{id}/status ; GET /api/document/document/fields ; POST /api/viewrecord/unread/mockputtopost
single_missing_java	data.deleted		8	GET /api/ai_assemble_control/chat/delete/{clueId} ; GET /api/component/assemble/control/status/list ; DELETE /api/appinfo/erase/app/{id}
single_missing_java	data.id		4	GET /api/ai_assemble_control/chat/delete/{clueId} ; GET /api/program_center/appstyle/current/style
single_missing_java	data.status		4	GET /api/authentication/bind ; GET /api/authentication/bind/meta/{meta}
single_missing_java	data[0].status		2	GET /api/form/list/all
# type: single_missing_rust
single_missing_rust		data.id	16	GET /api/authentication/bind/meta/{meta} ; DELETE /api/appinfo/erase/app/{id} ; GET /api/appinfo/erase/app/{id}/mockdeletetoget
single_missing_rust		prompt	16	DELETE /api/appinfo/erase/app/{id} ; GET /api/appinfo/erase/app/{id}/mockdeletetoget ; POST /api/viewrecord/unread/mockputtopost
single_missing_rust		data	12	PUT /api/mind/assemble/control/folder/move/{folderId} ; GET /api/appinfo/{id}/control ; GET /api/categoryinfo/{id}/control
single_missing_rust		data.value	4	GET /api/ai_assemble_control/chat/delete/{clueId} ; GET /api/program_center/appstyle/current/update
single_missing_rust		data.docCount	4	POST /api/document/filter/count/mockputtopost ; PUT /api/document/filter/count
single_missing_rust		data.simpleMode	4	GET /api/program/appstyle/current/style ; GET /api/program_center/appstyle/current/style
single_missing_rust		data.speechScript	4	GET /api/program/appstyle/current/style ; GET /api/program_center/appstyle/current/style
single_missing_rust		data.systemMessageCanClick	4	GET /api/program/appstyle/current/style ; GET /api/program_center/appstyle/current/style
single_missing_rust		data.indexCentered	4	GET /api/program/appstyle/current/style ; GET /api/program_center/appstyle/current/style
single_missing_rust		data.nativeAppList	4	GET /api/program/appstyle/current/style ; GET /api/program_center/appstyle/current/style
single_missing_rust		data.needGray	4	GET /api/program/appstyle/current/style ; GET /api/program_center/appstyle/current/style
single_missing_rust		data.systemMessageSwitch	4	GET /api/program/appstyle/current/style ; GET /api/program_center/appstyle/current/style
single_missing_rust		data.promotionPageScript	4	GET /api/program/appstyle/current/style ; GET /api/program_center/appstyle/current/style
single_missing_rust		data.appIndexPages	4	GET /api/program/appstyle/current/style ; GET /api/program_center/appstyle/current/style
single_missing_rust		data.appExitAlert	4	GET /api/program/appstyle/current/style ; GET /api/program_center/appstyle/current/style
single_missing_rust		data.contactPermissionView	4	GET /api/program/appstyle/current/style ; GET /api/program_center/appstyle/current/style
single_missing_rust		data.images	4	GET /api/program/appstyle/current/style ; GET /api/program_center/appstyle/current/style
single_missing_rust		data.内部	4	GET /api/general/assemble/control/securityclearance/object ; GET /api/general/assemble/control/securityclearance/subject
single_missing_rust		data.appName	2	GET /api/ai_assemble_control/config/base/config
single_missing_rust		data.o2AiEnable	2	GET /api/ai_assemble_control/config/base/config
single_missing_rust		data.appIconUrl	2	GET /api/ai_assemble_control/config/base/config
single_missing_rust		data.desc	2	GET /api/ai_assemble_control/config/base/config
single_missing_rust		data.title	2	GET /api/ai_assemble_control/config/base/config
single_missing_rust		data.name	2	GET /api/authentication/bind/meta/{meta}
single_missing_rust		data.tokenType	2	GET /api/authentication/bind/meta/{meta}
single_missing_rust		data.distinguishedName	2	POST /api/person/detail/{flag}
single_missing_rust		data.allowList	2	GET /api/component/assemble/control/status/list
single_missing_rust		data.errorTotal	2	GET /api/document/batch/{id}/status
single_missing_rust		data.successTotal	2	GET /api/document/batch/{id}/status
single_missing_rust		data.dataTotal	2	GET /api/document/batch/{id}/status
single_missing_rust		data.processTotal	2	GET /api/document/batch/{id}/status
single_missing_rust		data.fieldNames	2	GET /api/document/document/fields
single_missing_rust		data[0].updateTime	2	GET /api/form/list/all
single_missing_rust		data[0].properties	2	GET /api/form/list/all
single_missing_rust		data[0].editor	2	GET /api/form/list/all
single_missing_rust		data.readCompleted	2	GET /api/processplatform/assemble/surface/work/count/{credential}
single_missing_rust		data.taskCompleted	2	GET /api/processplatform/assemble/surface/work/count/{credential}
single_missing_rust		data.review	2	GET /api/processplatform/assemble/surface/work/count/{credential}
single_missing_rust		data.read	2	GET /api/processplatform/assemble/surface/work/count/{credential}
single_missing_rust		data.task	2	GET /api/processplatform/assemble/surface/work/count/{credential}
single_missing_rust		data.myCalendars	2	GET /api/calendar/calendar/list/my
single_missing_rust		data.onDutyCount	2	GET /api/attendance/assemble/control/statisticshow/unit/sum/{name}/{year}/{month}
single_missing_rust		data.absenceDayCount	2	GET /api/attendance/assemble/control/statisticshow/unit/sum/{name}/{year}/{month}
single_missing_rust		data.onSelfHolidayCount	2	GET /api/attendance/assemble/control/statisticshow/unit/sum/{name}/{year}/{month}
single_missing_rust		data.employeeCount	2	GET /api/attendance/assemble/control/statisticshow/unit/sum/{name}/{year}/{month}
single_missing_rust		data.lateCount	2	GET /api/attendance/assemble/control/statisticshow/unit/sum/{name}/{year}/{month}
single_missing_rust		data.offDutyCount	2	GET /api/attendance/assemble/control/statisticshow/unit/sum/{name}/{year}/{month}
single_missing_rust		data.leaveEarlyCount	2	GET /api/attendance/assemble/control/statisticshow/unit/sum/{name}/{year}/{month}
single_missing_rust		data.abNormalDutyCount	2	GET /api/attendance/assemble/control/statisticshow/unit/sum/{name}/{year}/{month}
single_missing_rust		data.onDutyEmployeeCount	2	GET /api/attendance/assemble/control/statisticshow/unit/sum/{name}/{year}/{month}
single_missing_rust		data.lackOfTimeCount	2	GET /api/attendance/assemble/control/statisticshow/unit/sum/{name}/{year}/{month}
single_missing_rust		data.onDutyFastCheckInEnd	2	GET /api/attendance/assemble/control/v2/config/person
single_missing_rust		data.offDutyFastCheckInBegin	2	GET /api/attendance/assemble/control/v2/config/person
single_missing_rust		data.offDutyFastCheckInEnd	2	GET /api/attendance/assemble/control/v2/config/person
single_missing_rust		data.onDutyFastCheckInBegin	2	GET /api/attendance/assemble/control/v2/config/person
single_missing_rust		data.offDutyFastCheckInEnable	2	GET /api/attendance/assemble/control/v2/config/person
single_missing_rust		data.onDutyFastCheckInEnable	2	GET /api/attendance/assemble/control/v2/config/person
single_missing_rust		data.cannotCheckInReason	2	GET /api/attendance/assemble/control/v2/mobile/check/pre
single_missing_rust		data.indexPortal	2	GET /api/program_center/appstyle/current/style
single_missing_rust		data.indexType	2	GET /api/program_center/appstyle/current/style
single_missing_rust		data.spent	2	GET /api/program_center/authentication
single_missing_rust		data.count	2	GET /api/program_center/authentication
single_missing_rust		data.date	2	GET /api/program_center/authentication
single_missing_rust		data.position	2	GET /api/program_center/authentication
single_missing_rust		data.type	2	GET /api/program_center/authentication
single_missing_rust		data.size	2	GET /api/program_center/authentication
single_missing_rust		data.data	2	GET /api/program_center/authentication
single_missing_rust		data.message	2	GET /api/program_center/authentication
single_missing_rust		data.x_processplatform_service_processing	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_query_assemble_designer	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_file_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_correlation_service_processing	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_ai_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_mind_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_organization_assemble_express	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_processplatform_assemble_designer	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_general_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_organization_assemble_personal	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_cms_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_query_assemble_surface	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_organization_assemble_authentication	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_calendar_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_portal_assemble_designer	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_bbs_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_organization_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_processplatform_assemble_surface	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_query_service_processing	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_jpush_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_meeting_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_message_assemble_communicate	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_processplatform_assemble_bam	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_attendance_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_component_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_hotpic_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.x_portal_assemble_surface	2	GET /api/program_center/distribute/assemble/source/{source}
single_missing_rust		data.webServer	2	GET /api/program_center/distribute/webserver/assemble/source/{source}
single_missing_rust		data.assembles	2	GET /api/program_center/distribute/webserver/assemble/source/{source}
single_missing_rust		data.tokenName	2	GET /api/program_center/distribute/webserver/assemble/source/{source}
single_missing_rust		data.mockConfig	2	GET /api/program_center/distribute/webserver/assemble/source/{source}
single_missing_rust		data.standalone	2	GET /api/program_center/distribute/webserver/assemble/source/{source}
single_missing_rust		data.非密	2	GET /api/general/assemble/control/securityclearance/object
single_missing_rust		data.重要	2	GET /api/general/assemble/control/securityclearance/subject
single_missing_rust		data.一般	2	GET /api/general/assemble/control/securityclearance/subject
single_missing_rust		data.义务	2	GET /api/general/assemble/control/securityclearance/subject
# type: type_differs
